[4/22/23 05:09AM] Xtc used command ::home | Player rights = PLAYER	
[4/22/23 06:36AM] Xtc used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 06:37AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:39AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:45AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:50AM] Xtc used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:57AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:02AM] Xtc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:04AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:16AM] Xtc used command ::yell buying $250 in bonds | Player rights = TORMENTED_DONATOR	
[4/22/23 07:17AM] Xtc used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 07:25AM] Xtc used command ::Yell buying bonds pm me | Player rights = TORMENTED_DONATOR	
[4/22/23 07:30AM] Xtc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32AM] Xtc used command ::yell anyone selling double kill perk item | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32AM] Xtc used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32AM] Xtc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32AM] Xtc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Xtc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Xtc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 07:36AM] Xtc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:36AM] Xtc used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 07:37AM] Xtc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:37AM] Xtc used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 07:38AM] Xtc used command ::yell buying bonds | Player rights = TORMENTED_DONATOR	
[4/22/23 07:42AM] Xtc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:44AM] Xtc used command ::yell buying scrolls/bond 50k/$1 pm | Player rights = TORMENTED_DONATOR	
[4/22/23 07:45AM] Xtc used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 07:46AM] Xtc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:47AM] Xtc used command ::yell buying bonds/scroll 50k/$1 pm me | Player rights = TORMENTED_DONATOR	
[4/22/23 07:50AM] Xtc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:58AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:02AM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:10AM] Xtc used command ::players | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:12AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:15AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:21AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:28AM] Xtc used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:29AM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:30AM] Xtc used command ::yell pm if anyone wants to swap wings for top/boots/helm | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:32AM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:32AM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:33AM] Xtc used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:34AM] Xtc used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:34AM] Xtc used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:35AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:37AM] Xtc used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:38AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:39AM] Xtc used command ::yell swapping owner wings pm me | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:40AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:43AM] Xtc used command ::yell swapping owner wings pm me | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:51AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:59AM] Xtc used command ::yell swapping owner wings pm me | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:02AM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:02AM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:04AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:05AM] Xtc used command ::Yell cheap inf prayer in pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:07AM] Xtc used command ::Yell swapping owner wings pm me | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:13AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:14AM] Xtc used command ::yell anyone selling gear with  cash perk | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:16AM] Xtc used command ::yell swapping owner wings pm me | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:24AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:29AM] Xtc used command ::yell buying any item with cash perk pm | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:32AM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:33AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:34AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:36AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:46AM] Xtc used command ::dropsoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:46AM] Xtc used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:51AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:52AM] Xtc used command ::shops | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:52AM] Xtc used command ::market | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:00AM] Xtc used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:00AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:01AM] Xtc used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:02AM] Xtc used command ::yell i like burning money | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:02AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:02AM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:02AM] Xtc used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:03AM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:16PM] Xtc used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:21PM] Xtc used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:22PM] Xtc used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:23PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:24PM] Xtc used command ::yell buying exec bow | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:28PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:16PM] Xtc used command ::yell buying exec bow | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:17PM] Xtc used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:17PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:18PM] Xtc used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:20PM] Xtc used command ::yell gz | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:23PM] Xtc used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:24PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:25PM] Xtc used command ::yell buying exec bow | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:32PM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:33PM] Xtc used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:33PM] Xtc used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:34PM] Xtc used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:35PM] Xtc used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:35PM] Xtc used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:35PM] Xtc used command ::yell buying exec bow | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:35PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:39PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:40PM] Xtc used command ::yell selling exec bow  | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:41PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:51PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:54PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:02PM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:04PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:04PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:05PM] Xtc used command ::yell selling exec bow | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:10PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:12PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:17PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:30PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:32PM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:33PM] Xtc used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:35PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:40PM] Xtc used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:49PM] Xtc used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:53PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:58PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:02PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:02PM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:04PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:06PM] Xtc used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:08PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:10PM] Xtc used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:12PM] Xtc used command ::posa | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:12PM] Xtc used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:13PM] Xtc used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:16PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:16PM] Xtc used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:17PM] Xtc used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:30PM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:32PM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:33PM] Xtc used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:34PM] Xtc used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:35PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:45PM] Xtc used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:46PM] Xtc used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:47PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:52PM] Xtc used command ::yell selling 52% dr pet | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:56PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:00PM] Xtc used command ::yell selling 52% dr pet | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:02PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:02PM] Xtc used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:03PM] Xtc used command ::yell gl | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:04PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:04PM] Xtc used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:05PM] Xtc used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:08PM] Xtc used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:08PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:09PM] Xtc used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:09PM] Xtc used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:10PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:15PM] Xtc used command ::Yell selling owner gloves pm offer | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:15PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:15PM] Xtc used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:19PM] Xtc used command ::yell buying bonds/scrolls 55k ea | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:20PM] Xtc used command ::Yell buying $100 5.5m | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:27PM] Xtc used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:30PM] Xtc used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:32PM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:33PM] Xtc used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:34PM] Xtc used command ::meruem | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:35PM] Xtc used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:36PM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:38PM] Xtc used command ::yell buying elite staff 6m | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:44PM] Xtc used command ::Yell buying halo | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:48PM] Xtc used command ::Yell buying death halo | Player rights = OBSIDIAN_DONATOR	
[4/22/23 11:59PM] Xtc used command ::yell selling 52% dr pets | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:00AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:02AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:04AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:05AM] Xtc used command ::yell buying death halo | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:10AM] Xtc used command ::Yell zzz | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:11AM] Xtc used command ::yell selling high dr pets pm | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:30AM] Xtc used command ::Yell selling exec bow 6x6 pm | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:32AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:33AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:34AM] Xtc used command :::bank | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:34AM] Xtc used command ::Bank | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:34AM] Xtc used command ::Bank | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:37AM] Xtc used command ::yell ree elite staff u is bugged | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:40AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:41AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:49AM] Xtc used command ::yell anyone got elite bow | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:50AM] Xtc used command ::voteboss | Player rights = OBSIDIAN_DONATOR	
[4/23/23 12:51AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 01:02AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 01:04AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 01:06AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 01:13AM] Xtc used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:18AM] Xtc used command ::yell buying death halo | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:26AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:31AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:33AM] Xtc used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:34AM] Xtc used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:34AM] Xtc used command ::meruem | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:35AM] Xtc used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:36AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 02:58AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:13AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:14AM] Xtc used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:14AM] Xtc used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:31AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:31AM] Xtc used command ::yell nice lost me 6x6 aoe | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:32AM] Xtc used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:32AM] Xtc used command ::yell legit dissappeared when i treid to equip | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:32AM] Xtc used command ::yell i did legit hone | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:32AM] Xtc used command ::Yell yo | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:33AM] Xtc used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:33AM] Xtc used command ::museum | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:33AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:37AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:40AM] Xtc used command ::voteboss | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:43AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:45AM] Xtc used command ::yell come home elven | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:47AM] Xtc used command ::yell buying halo | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:49AM] Xtc used command ::yell selling 6x6 aoe pm offers | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:50AM] Xtc used command ::drooff | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:50AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:51AM] Xtc used command ::yell buying $ 50k/$1 pm | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:52AM] Xtc used command ::yell l0l | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:56AM] Xtc used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:57AM] Xtc used command ::yell buying bonds/scrolls $1/50k | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:58AM] Xtc used command ::dropoff | Player rights = OBSIDIAN_DONATOR	
[4/23/23 03:59AM] Xtc used command ::yell selling 6x6 pm offers | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:05AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:05AM] Xtc used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:06AM] Xtc used command ::mereum | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:06AM] Xtc used command ::mereum | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:06AM] Xtc used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:07AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:07AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:07AM] Xtc used command ::yell buying scrolls/bonds $50k/$1 | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:08AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:08AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:11AM] Xtc used command ::yell selling 6x6 pm me | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:11AM] Xtc used command ::hidedrop | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:11AM] Xtc used command ::hidedrop | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:12AM] Xtc used command ::dropoff | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:15AM] Xtc used command ::yell buying death halo | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:16AM] Xtc used command ::yell arab u know wings are worth less | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:17AM] Xtc used command ::yell i didnt say worthless lol | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:19AM] Xtc used command ::yell buying bonds/scrolls 50k/$1 | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:19AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:25AM] Xtc used command ::Yell buying 80% dr/bonds | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:27AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:28AM] Xtc used command ::yell selling 6x6 aoe pm me | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:29AM] Xtc used command ::vote | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:31AM] Xtc used command ::voteboss | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:31AM] Xtc used command ::voteboss | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:32AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:32AM] Xtc used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:32AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:34AM] Xtc used command ::Yell who tf keepig beating me buying scrolls lol | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:35AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:36AM] Xtc used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:36AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
[4/23/23 04:37AM] Xtc used command ::pos | Player rights = OBSIDIAN_DONATOR	
