[4/19/23 07:59AM] Tuggy used command ::train | Player rights = PLAYER	
[4/19/23 09:56AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:59AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 09:59AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 10:00AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 10:02AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 10:03AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:04AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 10:05AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 10:09AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 10:09AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/19/23 10:10AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/19/23 10:11AM] Tuggy used command ::shops | Player rights = TORMENTED_DONATOR	
[4/19/23 10:13AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:13AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:17AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:20AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:20AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 02:48AM] Tuggy used command ::donate | Player rights = TORMENTED_DONATOR	
[4/20/23 02:49AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 02:49AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 02:57AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 02:57AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 02:58AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 02:59AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 03:02AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 03:07AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:07AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 03:08AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:09AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 03:09AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:14AM] Tuggy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 03:19AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 03:21AM] Tuggy used command ::yell pc obsidian aura and doom aura? | Player rights = TORMENTED_DONATOR	
[4/20/23 03:21AM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 03:22AM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 03:23AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 03:24AM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 03:25AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 03:25AM] Tuggy used command ::Reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 03:25AM] Tuggy used command ::reward 2 all | Player rights = TORMENTED_DONATOR	
[4/20/23 03:27AM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 06:08AM] Tuggy used command ::donate | Player rights = TORMENTED_DONATOR	
[4/21/23 06:29AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 06:33AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 06:34AM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 06:35AM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 06:36AM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 06:37AM] Tuggy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 06:38AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 06:38AM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 06:40AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:41AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:41AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:42AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:44AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:45AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:45AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:46AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:46AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:46AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:46AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 06:47AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 06:47AM] Tuggy used command ::commands | Player rights = TORMENTED_DONATOR	
[4/21/23 06:47AM] Tuggy used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/21/23 06:48AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 06:49AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 06:57AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:59AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:00AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:01AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:01AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:03AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:09AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 07:11AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:13AM] Tuggy used command ::commands | Player rights = TORMENTED_DONATOR	
[4/21/23 07:13AM] Tuggy used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/21/23 07:13AM] Tuggy used command ::yellowevent | Player rights = TORMENTED_DONATOR	
[4/21/23 07:14AM] Tuggy used command ::commands | Player rights = TORMENTED_DONATOR	
[4/22/23 02:59AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 03:01AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/22/23 03:02AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/22/23 03:02AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:07AM] Tuggy used command ::pcc | Player rights = TORMENTED_DONATOR	
[4/22/23 03:07AM] Tuggy used command ::pc | Player rights = TORMENTED_DONATOR	
[4/22/23 03:16AM] Tuggy used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/22/23 03:32AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:34AM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 03:36AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 03:36AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/22/23 03:37AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/22/23 03:37AM] Tuggy used command ::kills | Player rights = TORMENTED_DONATOR	
[4/22/23 03:39AM] Tuggy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 03:40AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 03:40AM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 03:43AM] Tuggy used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 03:43AM] Tuggy used command ::collection | Player rights = TORMENTED_DONATOR	
[4/22/23 03:44AM] Tuggy used command ::commands | Player rights = TORMENTED_DONATOR	
[4/22/23 03:44AM] Tuggy used command ::shops | Player rights = TORMENTED_DONATOR	
[4/22/23 03:44AM] Tuggy used command ::rewards | Player rights = TORMENTED_DONATOR	
[4/22/23 03:46AM] Tuggy used command ::Store | Player rights = TORMENTED_DONATOR	
[4/22/23 03:51AM] Tuggy used command ::Af | Player rights = TORMENTED_DONATOR	
[4/22/23 03:51AM] Tuggy used command ::afj | Player rights = TORMENTED_DONATOR	
[4/22/23 03:51AM] Tuggy used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/22/23 03:52AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 03:52AM] Tuggy used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 03:52AM] Tuggy used command ::yell where is the shops here? | Player rights = TORMENTED_DONATOR	
[4/22/23 03:55AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/22/23 04:02AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:39AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/22/23 05:03AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:06AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/22/23 08:26AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:32AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33AM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 08:35AM] Tuggy used command ::yell selling $50 inname! | Player rights = TORMENTED_DONATOR	
[4/22/23 08:36AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:41AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/23/23 05:17AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/23/23 05:28AM] Tuggy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 05:29AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 05:29AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 05:29AM] Tuggy used command ::claimvote | Player rights = TORMENTED_DONATOR	
[4/23/23 05:29AM] Tuggy used command ::reward 2 all | Player rights = TORMENTED_DONATOR	
[4/23/23 05:31AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 05:35AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 05:36AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/23/23 05:38AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/26/23 05:33AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/26/23 05:36AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 05:37AM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 05:39AM] Tuggy used command ::muruem | Player rights = TORMENTED_DONATOR	
[4/26/23 05:40AM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 05:41AM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/26/23 06:57AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 06:58AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 06:59AM] Tuggy used command ::store | Player rights = TORMENTED_DONATOR	
[4/26/23 07:01AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/26/23 07:03AM] Tuggy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/26/23 07:04AM] Tuggy used command ::home | Player rights = TORMENTED_DONATOR	
[4/26/23 07:05AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 07:06AM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 07:08AM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 07:09AM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 07:09AM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/26/23 07:10AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 01:30AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 01:33AM] Tuggy used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/27/23 01:35AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 01:37AM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/27/23 03:49AM] Tuggy used command ::peach | Player rights = TORMENTED_DONATOR	
[4/27/23 04:01AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 04:04AM] Tuggy used command ::peach | Player rights = TORMENTED_DONATOR	
[4/27/23 04:05AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 04:48AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 04:48AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 05:00AM] Tuggy used command :::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 05:00AM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 05:12AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:13AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 05:23AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 05:35AM] Tuggy used command ::veiga | Player rights = TORMENTED_DONATOR	
[4/27/23 05:35AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:59AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 06:01AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 06:02AM] Tuggy used command ::dropon | Player rights = TORMENTED_DONATOR	
[4/27/23 06:05AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 06:05AM] Tuggy used command ::yell BOSSES GO BY ::VEIGAR, ::NINETAILS, ::MERUEM, ::GOLDEN | Player rights = TORMENTED_DONATOR	
[4/27/23 06:06AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 06:07AM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 06:08AM] Tuggy used command ::mereum | Player rights = TORMENTED_DONATOR	
[4/27/23 06:09AM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 06:10AM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 06:13AM] Tuggy used command ::store | Player rights = TORMENTED_DONATOR	
[4/27/23 06:30AM] Tuggy used command ::yell buying super buu staff! | Player rights = TORMENTED_DONATOR	
[4/27/23 06:30AM] Tuggy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/27/23 06:30AM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/27/23 06:31AM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/27/23 06:33AM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 06:33AM] Tuggy used command ::yell selling vote and $1 scrolls! | Player rights = TORMENTED_DONATOR	
[4/27/23 06:33AM] Tuggy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/27/23 06:34AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 06:34AM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 06:35AM] Tuggy used command ::yell cheapest vote and $1 scrolls in my pos buy now before all good! | Player rights = TORMENTED_DONATOR	
[4/27/23 06:35AM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 06:36AM] Tuggy used command ::yell get my cheapest vote/$1 scrolls before too late! | Player rights = TORMENTED_DONATOR	
[4/27/23 05:01PM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/27/23 05:03PM] Tuggy used command ::meurem | Player rights = TORMENTED_DONATOR	
[4/27/23 05:03PM] Tuggy used command ::mureum | Player rights = TORMENTED_DONATOR	
[4/27/23 05:03PM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 05:04PM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 05:05PM] Tuggy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 05:06PM] Tuggy used command ::go::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:06PM] Tuggy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:07PM] Tuggy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 05:07PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:08PM] Tuggy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/27/23 05:09PM] Tuggy used command ::mureum | Player rights = TORMENTED_DONATOR	
[4/27/23 05:09PM] Tuggy used command ::mureum | Player rights = TORMENTED_DONATOR	
[4/27/23 05:09PM] Tuggy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 05:11PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:12PM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 05:12PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:13PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:13PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:14PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:18PM] Tuggy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 05:19PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:19PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:19PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:19PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:20PM] Tuggy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 07:41PM] Tuggy used command ::collection | Player rights = TORMENTED_DONATOR	
