[4/17/23 04:01AM] Kinda Savage used command ::vote | Player rights = PLAYER	
[4/18/23 01:46PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:49PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:50PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:54PM] Kinda Savage used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:59PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:03PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:06PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:10PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:12PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:14PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:21PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:29PM] Kinda Savage used command ::SLAYER | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:34PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:36PM] Kinda Savage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:37PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:43PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:47PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:59PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:00PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:02PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:08PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:12PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Kinda Savage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Kinda Savage used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:16PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:18PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:44PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:35PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:37PM] Kinda Savage used command ::yell veigar is up 50% | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:38PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:39PM] Kinda Savage used command ::yell ::veigar is up! 30% hp left | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:39PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:40PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42PM] Kinda Savage used command ::yell ::ninetails is up! | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:45PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:45PM] Kinda Savage used command ::yell ::meruem next! | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:46PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:47PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:48PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:48PM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:49PM] Kinda Savage used command ::yell ::golden! | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:52PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:53PM] Kinda Savage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:03PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:04PM] Kinda Savage used command ::yell $48 my tp 45k ea $ | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:04PM] Kinda Savage used command ::yell nvm sold thanks. | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:05PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:08PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:31PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:34PM] Kinda Savage used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:34PM] Kinda Savage used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:35PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:38PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:45PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:49PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:56PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:59PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:03AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:05AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:09AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:12AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:14AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23AM] Kinda Savage used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:29AM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:32AM] Kinda Savage used command ::yell staff better get that shit down! | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:41AM] Kinda Savage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43AM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:44AM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:45AM] Kinda Savage used command ::meruem::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:45AM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46AM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:47AM] Kinda Savage used command ::wr3ched | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:56AM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:58AM] Kinda Savage used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:01PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:02PM] Kinda Savage used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:04PM] Kinda Savage used command ::reward all 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:04PM] Kinda Savage used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:06PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:10PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:13PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Kinda Savage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:21PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Kinda Savage used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:25PM] Kinda Savage used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:28PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:31PM] Kinda Savage used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:34PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:40PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:40PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Kinda Savage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Kinda Savage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:46PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:25PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:35PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:45PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:12PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Kinda Savage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Kinda Savage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:19PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:27PM] Kinda Savage used command ::yell hide and seek is over @ ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:29PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:33PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:40PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:42PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:45PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:53PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:56PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:56PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:00PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:01PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:04PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:08PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:11PM] Kinda Savage used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Kinda Savage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:15PM] Kinda Savage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:15PM] Kinda Savage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:18PM] Kinda Savage used command ::home | Player rights = GRACEFUL_DONATOR	
