[4/22/23 02:32PM] Demon used command ::train | Player rights = PLAYER	
[4/22/23 09:28PM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:30PM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:31PM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:50PM] Demon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:51PM] Demon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:51PM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:04PM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:46PM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02PM] Demon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:07PM] Demon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:08PM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:32PM] Demon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33PM] Demon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34PM] Demon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34PM] Demon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:35PM] Demon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:38PM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:09AM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:52AM] Demon used command ::logs | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:53AM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:54AM] Demon used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:54AM] Demon used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:54AM] Demon used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:55AM] Demon used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:58AM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:59AM] Demon used command ::fpk merk | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:59AM] Demon used command ::ref fpk merk | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:04AM] Demon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:05AM] Demon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:05AM] Demon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:05AM] Demon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:05AM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:07AM] Demon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:15AM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:17AM] Demon used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:19AM] Demon used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:24AM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:25AM] Demon used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:29AM] Demon used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:33AM] Demon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:34AM] Demon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:38AM] Demon used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:58AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:00AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:04AM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:05AM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:16AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:18AM] Demon used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 09:25AM] Demon used command ::WB | Player rights = CLERIC_DONATOR	
[4/23/23 09:25AM] Demon used command ::wb | Player rights = CLERIC_DONATOR	
[4/23/23 09:26AM] Demon used command ::wbs | Player rights = CLERIC_DONATOR	
[4/23/23 09:26AM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:26AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Demon used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 09:38AM] Demon used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 09:38AM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:39AM] Demon used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 09:40AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:40AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:41AM] Demon used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 09:41AM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:41AM] Demon used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 09:56AM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:57AM] Demon used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 09:57AM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:57AM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:05AM] Demon used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 10:24AM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:26AM] Demon used command ::teleport | Player rights = CLERIC_DONATOR	
[4/23/23 10:49AM] Demon used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 10:50AM] Demon used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 10:52AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 10:54AM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Demon used command ::teleport | Player rights = CLERIC_DONATOR	
[4/23/23 11:46AM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:47AM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 11:54AM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
