[4/21/23 06:13AM] Bully used command ::ref | Player rights = PLAYER	
[4/21/23 09:18AM] Bully used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:33AM] Bully used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:33AM] Bully used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:34AM] Bully used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:54AM] Bully used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56AM] Bully used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02AM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:26AM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:56AM] Bully used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 11:03AM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:17AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:30AM] Bully used command ::viegar | Player rights = CLERIC_DONATOR	
[4/21/23 11:31AM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:34AM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:08PM] Bully used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:32PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Bully used command ::Store | Player rights = CLERIC_DONATOR	
[4/21/23 12:35PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 01:03PM] Bully used command ::viegar | Player rights = CLERIC_DONATOR	
[4/21/23 01:03PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:10PM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:32PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:34PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Bully used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Bully used command ::viegar | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:59PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:03PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:32PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Bully used command ::Vote | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Bully used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Bully used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:38PM] Bully used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:43PM] Bully used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:43PM] Bully used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:43PM] Bully used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:48PM] Bully used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:49PM] Bully used command ::Yell selling 35 votes | Player rights = CLERIC_DONATOR	
[4/21/23 06:49PM] Bully used command ::Yell selling 35 votes 30k ea | Player rights = CLERIC_DONATOR	
[4/21/23 06:51PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:03PM] Bully used command ::Viegar | Player rights = CLERIC_DONATOR	
[4/21/23 07:03PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:12PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:14PM] Bully used command ::Toggledrops | Player rights = CLERIC_DONATOR	
[4/21/23 07:14PM] Bully used command ::drops | Player rights = CLERIC_DONATOR	
[4/21/23 07:14PM] Bully used command ::showdrops | Player rights = CLERIC_DONATOR	
[4/21/23 07:22PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:24PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:26PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:39PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:40PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:51PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:02PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:28PM] Bully used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:31PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:34PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35PM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:56AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:25AM] Bully used command ::Vote | Player rights = CLERIC_DONATOR	
[4/22/23 07:27AM] Bully used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 07:32AM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:36AM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:00AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:08AM] Bully used command ::whatdrops aoe | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 09:02AM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:06AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:15AM] Bully used command ::pos\ | Player rights = CLERIC_DONATOR	
[4/22/23 10:15AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:59AM] Bully used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 12:00PM] Bully used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 12:04PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:06PM] Bully used command ::Yell yes boss | Player rights = CLERIC_DONATOR	
[4/22/23 12:06PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:09PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:11PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Bully used command ::Golden | Player rights = CLERIC_DONATOR	
[4/22/23 12:15PM] Bully used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 12:23PM] Bully used command ::whatdrops perk | Player rights = CLERIC_DONATOR	
[4/22/23 01:03PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:03PM] Bully used command ::Viegar | Player rights = CLERIC_DONATOR	
[4/22/23 01:03PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:04PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 01:15PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 01:15PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 01:15PM] Bully used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 01:16PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 01:16PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 01:16PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 01:17PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 01:17PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 01:17PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:32PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:33PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 01:38PM] Bully used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 04:15AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 04:23AM] Bully used command ::Vote | Player rights = CLERIC_DONATOR	
[4/24/23 04:25AM] Bully used command ::claimvp | Player rights = CLERIC_DONATOR	
[4/24/23 04:25AM] Bully used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/24/23 04:25AM] Bully used command ::reward1 all | Player rights = CLERIC_DONATOR	
[4/24/23 04:31AM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 04:32AM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 04:34AM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 05:37AM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/24/23 05:37AM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/24/23 12:01PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 12:31PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 12:32PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 12:33PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 12:34PM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 12:46PM] Bully used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 03:55PM] Bully used command ::noble | Player rights = CLERIC_DONATOR	
[4/24/23 04:01PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 04:04PM] Bully used command ::golem2 | Player rights = CLERIC_DONATOR	
[4/24/23 04:04PM] Bully used command ::sanctum2 | Player rights = CLERIC_DONATOR	
[4/24/23 04:05PM] Bully used command ::sanctum2 | Player rights = CLERIC_DONATOR	
[4/24/23 05:10PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 05:11PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 05:12PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 05:27PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/24/23 05:27PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/24/23 05:27PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/24/23 05:27PM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/24/23 05:28PM] Bully used command ::Dr | Player rights = CLERIC_DONATOR	
[4/24/23 05:28PM] Bully used command ::Dr | Player rights = CLERIC_DONATOR	
[4/24/23 05:28PM] Bully used command ::Dr | Player rights = CLERIC_DONATOR	
[4/24/23 05:28PM] Bully used command ::Dr | Player rights = CLERIC_DONATOR	
[4/24/23 05:28PM] Bully used command ::dr | Player rights = CLERIC_DONATOR	
[4/24/23 05:31PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 05:31PM] Bully used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 05:32PM] Bully used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 05:33PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 05:34PM] Bully used command ::Yell buying $3 | Player rights = CLERIC_DONATOR	
[4/24/23 05:36PM] Bully used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 05:58PM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/24/23 08:03PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 09:01PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:16PM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/24/23 09:19PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 09:31PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:32PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:34PM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:35PM] Bully used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 09:39PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 05:37AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 05:45AM] Bully used command ::Vote | Player rights = CLERIC_DONATOR	
[4/25/23 05:46AM] Bully used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 09:03AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 09:12AM] Bully used command ::Yell anyone buying votes | Player rights = CLERIC_DONATOR	
[4/25/23 09:12AM] Bully used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 09:12AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 09:20AM] Bully used command ::Yell ALL VOTE | Player rights = CLERIC_DONATOR	
[4/25/23 09:32AM] Bully used command ::viegar | Player rights = CLERIC_DONATOR	
[4/25/23 09:32AM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 09:32AM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 09:32AM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/25/23 09:33AM] Bully used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/25/23 09:33AM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 09:35AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:25AM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/25/23 11:31AM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 11:32AM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 11:33AM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 11:37AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:37AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:43AM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 12:01PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 12:14PM] Bully used command ::Dr | Player rights = CLERIC_DONATOR	
[4/25/23 12:31PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 12:32PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 12:32PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 12:34PM] Bully used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 01:01PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:13PM] Bully used command ::Vbos | Player rights = CLERIC_DONATOR	
[4/25/23 01:13PM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/25/23 01:15PM] Bully used command ::Vbosxs | Player rights = CLERIC_DONATOR	
[4/25/23 01:15PM] Bully used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/25/23 01:31PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:32PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 01:32PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 01:33PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 01:34PM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 03:31PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 03:55PM] Bully used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 04:01PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:50PM] Bully used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 05:01PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:01PM] Bully used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:30PM] Bully used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:32PM] Bully used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 07:34PM] Bully used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 07:35PM] Bully used command ::golden | Player rights = CLERIC_DONATOR	
