[4/20/23 06:21AM] Vetz used command ::refer | Player rights = PLAYER	
[4/22/23 07:27AM] Vetz used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32AM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Vetz used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Vetz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:34AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:42AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:54AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:54AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:02AM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:06AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:06AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:11AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:17AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32AM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] Vetz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Vetz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Vetz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:37AM] Vetz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:39AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:40AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:47AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:49AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:58AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02AM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:03AM] Vetz used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:03AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:01PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:01PM] Vetz used command ::store | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:02PM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:03PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:04PM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:06PM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:07PM] Vetz used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:22PM] Vetz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:23PM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Vetz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:35PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:43PM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:51PM] Vetz used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:53PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:54PM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:56PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:56PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:59PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:01PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02PM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:04PM] Vetz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:04PM] Vetz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:12PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:19PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:24PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:24PM] Vetz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:24PM] Vetz used command ::store | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:31PM] Vetz used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:33PM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:33PM] Vetz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:34PM] Vetz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:35PM] Vetz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:36PM] Vetz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:36PM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:38PM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:47AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:47AM] Vetz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:52AM] Vetz used command ::reward1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:52AM] Vetz used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:52AM] Vetz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:52AM] Vetz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:52AM] Vetz used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:53AM] Vetz used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:01AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:02AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:02AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:02AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:02AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:02AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:03AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:03AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:03AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:04AM] Vetz used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:04AM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:05AM] Vetz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:05AM] Vetz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:05AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:08AM] Vetz used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:08AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:14AM] Vetz used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:29AM] Vetz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:34AM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:04AM] Vetz used command ::vegar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:04AM] Vetz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] Vetz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] Vetz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] Vetz used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:06AM] Vetz used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 06:06AM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 06:10AM] Vetz used command ::dre | Player rights = CLERIC_DONATOR	
[4/23/23 06:10AM] Vetz used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:51PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:53PM] Vetz used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 12:56PM] Vetz used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:56PM] Vetz used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:56PM] Vetz used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:56PM] Vetz used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:56PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:57PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:58PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:01PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:10PM] Vetz used command ::fewb | Player rights = CLERIC_DONATOR	
[4/23/23 01:16PM] Vetz used command ::noble | Player rights = CLERIC_DONATOR	
[4/23/23 01:20PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:24PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:25PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:26PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:26PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:27PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:31PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:32PM] Vetz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 01:34PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:36PM] Vetz used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 01:37PM] Vetz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 01:37PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:47PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:47PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:54PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:58PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:58PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:01PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:02PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:06PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:07PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 02:07PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:07PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:07PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:07PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:09PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:17PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:20PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:20PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:25PM] Vetz used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 02:26PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:31PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:32PM] Vetz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 02:33PM] Vetz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 02:34PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:43PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 02:44PM] Vetz used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:48PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:49PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:52PM] Vetz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 02:53PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:57PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:58PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:00PM] Vetz used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:00PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:01PM] Vetz used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:11PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:11PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:13PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 03:18PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:22PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:22PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:22PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:24PM] Vetz used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 03:26PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:26PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:30PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:31PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:32PM] Vetz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:33PM] Vetz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 03:33PM] Vetz used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:35PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 03:35PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:36PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:55PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:57PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:57PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:57PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 03:58PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:01PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:01PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:01PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:02PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:03PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:08PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:18PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:23PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:23PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:27PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:31PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:32PM] Vetz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 04:33PM] Vetz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 04:35PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:36PM] Vetz used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 04:45PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:47PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:47PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:54PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:57PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:59PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:01PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 05:01PM] Vetz used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 05:02PM] Vetz used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 05:03PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:03PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:07PM] Vetz used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:15PM] Vetz used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:23PM] Vetz used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 05:24PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:25PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:26PM] Vetz used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:29PM] Vetz used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:30PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:30PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:31PM] Vetz used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 05:32PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:32PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:32PM] Vetz used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 05:34PM] Vetz used command ::meruem::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:34PM] Vetz used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 05:42PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:45PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:53PM] Vetz used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 05:58PM] Vetz used command ::dr | Player rights = CLERIC_DONATOR	
