[4/16/23 07:51PM] Okmante used command ::home | Player rights = PLAYER	
[4/17/23 11:11PM] Okmante used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:14PM] Okmante used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:19AM] Okmante used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:21AM] Okmante used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:30AM] Okmante used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:30AM] Okmante used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:32AM] Okmante used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42AM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42AM] Okmante used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42AM] Okmante used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:43AM] Okmante used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:47AM] Okmante used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:43AM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:43AM] Okmante used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:43AM] Okmante used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:43AM] Okmante used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:15AM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:36PM] Okmante used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:36PM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:37PM] Okmante used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:39PM] Okmante used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:40PM] Okmante used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:45PM] Okmante used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:46PM] Okmante used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:48PM] Okmante used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:52PM] Okmante used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:00PM] Okmante used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:05PM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:34PM] Okmante used command ::players | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:35PM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:38PM] Okmante used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:39PM] Okmante used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:05AM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:09AM] Okmante used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:34AM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:38AM] Okmante used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43AM] Okmante used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:48AM] Okmante used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:50AM] Okmante used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:52AM] Okmante used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:53AM] Okmante used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:56AM] Okmante used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 07:56AM] Okmante used command ::Bank | Player rights = CLERIC_DONATOR	
[4/19/23 07:59AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:08AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:12AM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/19/23 08:12AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:13AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] Okmante used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] Okmante used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 08:18AM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/19/23 08:18AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:23AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:25AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:28AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:32AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:34AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:35AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:35AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:35AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:36AM] Okmante used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 08:36AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:39AM] Okmante used command ::yell buying agumon bow 1m :p | Player rights = CLERIC_DONATOR	
[4/19/23 08:40AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:43AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:44AM] Okmante used command ::yell buying agumon bow 1m | Player rights = CLERIC_DONATOR	
[4/19/23 08:45AM] Okmante used command ::yell buying agumon bow 2m cash :/ | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] Okmante used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:49AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 08:53AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:55AM] Okmante used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 08:56AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:58AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:01AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:03AM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/19/23 09:03AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 09:18AM] Okmante used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 09:21AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:24AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:29AM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/19/23 09:29AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:40AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:41AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:43AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:46AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:54AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:57AM] Okmante used command ::donate | Player rights = CLERIC_DONATOR	
[4/19/23 10:00AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:03AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:04AM] Okmante used command ::Vote | Player rights = CLERIC_DONATOR	
[4/19/23 10:23AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:27AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:27AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:30AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:18PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Okmante used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:21PM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:21PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:38PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:39PM] Okmante used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 10:40PM] Okmante used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 10:41PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:00PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:10PM] Okmante used command ::donate | Player rights = CLERIC_DONATOR	
[4/19/23 11:10PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:16PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:52AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:53AM] Okmante used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:57AM] Okmante used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 01:05AM] Okmante used command ::loots | Player rights = CLERIC_DONATOR	
[4/20/23 01:05AM] Okmante used command ::loots | Player rights = CLERIC_DONATOR	
[4/20/23 01:07AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Okmante used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Okmante used command ::loots | Player rights = CLERIC_DONATOR	
[4/20/23 01:24AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:24AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:31AM] Okmante used command ::collection | Player rights = CLERIC_DONATOR	
[4/20/23 01:33AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:39AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:41AM] Okmante used command ::yell buying elite bow 8m | Player rights = CLERIC_DONATOR	
[4/20/23 01:43AM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 01:43AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:44AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:49AM] Okmante used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:49AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:51AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:59AM] Okmante used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:04AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 02:08AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:11AM] Okmante used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 02:15AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:20AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:21AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:25AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 02:27AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:43AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:43AM] Okmante used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 09:44AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:46AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:47AM] Okmante used command ::yell buying elite bow 8m cash | Player rights = CLERIC_DONATOR	
[4/20/23 09:47AM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 09:47AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:50AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:51AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:53AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:55AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:55AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:56AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:59AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:59AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:02AM] Okmante used command ::yell buying elite bow 10m cash @Pm | Player rights = CLERIC_DONATOR	
[4/20/23 10:05AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:06AM] Okmante used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:09AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 10:10AM] Okmante used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 10:12AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:14AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 10:15AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 10:16AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 10:18AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Okmante used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:28AM] Okmante used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:29AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Okmante used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:33AM] Okmante used command ::yell buying elite bow 10m  | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:36AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:36AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:39AM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Okmante used command ::yell buying elite bow 10m | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Okmante used command ::loots | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Okmante used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Okmante used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:08AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:39PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:41PM] Okmante used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 12:44PM] Okmante used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 12:51PM] Okmante used command ::yell buying elite bow 10m | Player rights = CLERIC_DONATOR	
[4/20/23 01:03PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:09PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:10PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:13PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:22PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:23PM] Okmante used command ::yell buying elite bow 10m | Player rights = CLERIC_DONATOR	
[4/20/23 01:24PM] Okmante used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 01:27PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Okmante used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:32PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:48PM] Okmante used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 01:48PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:16PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:52PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:55PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:05PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:07PM] Okmante used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:08PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:22PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:23PM] Okmante used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 10:25PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:27PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:44PM] Okmante used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 11:49PM] Okmante used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 11:50PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:52PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:54PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:54PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:57PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:59PM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:02AM] Okmante used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:05AM] Okmante used command ::loots | Player rights = CLERIC_DONATOR	
[4/21/23 12:06AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:24AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:28AM] Okmante used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:32AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34AM] Okmante used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:36AM] Okmante used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:37AM] Okmante used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Okmante used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Okmante used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:41AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:46AM] Okmante used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 12:47AM] Okmante used command ::perks | Player rights = CLERIC_DONATOR	
[4/21/23 12:52AM] Okmante used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:59AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:03AM] Okmante used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:06AM] Okmante used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:07AM] Okmante used command ::pos | Player rights = CLERIC_DONATOR	
