[4/16/23 09:09AM] K8 used command ::ref | Player rights = PLAYER	
[4/20/23 02:26AM] K8 used command ::upgrade | Player rights = PLAYER	
[4/20/23 02:29AM] K8 used command ::veigar | Player rights = PLAYER	
[4/20/23 03:17AM] K8 used command ::veigar | Player rights = PLAYER	
[4/20/23 03:21AM] K8 used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:21AM] K8 used command ::golden | Player rights = PLAYER	
[4/20/23 03:21AM] K8 used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:22AM] K8 used command ::meruem | Player rights = PLAYER	
[4/20/23 03:24AM] K8 used command ::golden, | Player rights = PLAYER	
[4/20/23 03:24AM] K8 used command ::golden | Player rights = PLAYER	
[4/20/23 03:27AM] K8 used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:23PM] K8 used command ::veigar | Player rights = PLAYER	
[4/20/23 10:30PM] K8 used command ::store | Player rights = PLAYER	
[4/20/23 10:34PM] K8 used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:36PM] K8 used command ::meruem | Player rights = PLAYER	
[4/20/23 10:37PM] K8 used command ::veigar | Player rights = PLAYER	
[4/20/23 10:56PM] K8 used command ::Veigar | Player rights = PLAYER	
[4/20/23 11:27PM] K8 used command ::Veigar | Player rights = PLAYER	
[4/20/23 11:34PM] K8 used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:35PM] K8 used command ::golden | Player rights = PLAYER	
[4/20/23 11:37PM] K8 used command ::Veigar | Player rights = PLAYER	
[4/21/23 12:11AM] K8 used command ::veigar | Player rights = PLAYER	
[4/21/23 12:34AM] K8 used command ::ninetails | Player rights = PLAYER	
[4/21/23 12:36AM] K8 used command ::meruem | Player rights = PLAYER	
[4/21/23 12:53AM] K8 used command ::Veigar | Player rights = PLAYER	
[4/21/23 01:03AM] K8 used command ::store | Player rights = PLAYER	
[4/21/23 01:06AM] K8 used command ::Afk | Player rights = PLAYER	
[4/21/23 11:28AM] K8 used command ::veigar | Player rights = PLAYER	
[4/21/23 11:33AM] K8 used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:34AM] K8 used command ::golden | Player rights = PLAYER	
[4/21/23 11:35AM] K8 used command ::golden | Player rights = PLAYER	
[4/21/23 12:02PM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:05PM] K8 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:43PM] K8 used command ::yell buying x3 kc pm me | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:01PM] K8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:01PM] K8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:18PM] K8 used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:26PM] K8 used command ::npckills | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:31PM] K8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:33PM] K8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35PM] K8 used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:37PM] K8 used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:38PM] K8 used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:38PM] K8 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:38PM] K8 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:38PM] K8 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:46PM] K8 used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02AM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:02AM] K8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:34AM] K8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:35AM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:47AM] K8 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:49AM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:53AM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34AM] K8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:36AM] K8 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:37AM] K8 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:21AM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:26AM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33AM] K8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:59AM] K8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01AM] K8 used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:03AM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:06PM] K8 used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:06PM] K8 used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:06PM] K8 used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:07PM] K8 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:23PM] K8 used command ::yell selling gold enhancement with dr perk on it pm me | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33PM] K8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] K8 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:49PM] K8 used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:01PM] K8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:07PM] K8 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:09PM] K8 used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:16PM] K8 used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:31PM] K8 used command ::Veigar::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:31PM] K8 used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 11:31PM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:33PM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:33PM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:33PM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34PM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] K8 used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:58PM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:59PM] K8 used command ::dzone | Player rights = CLERIC_DONATOR	
[4/22/23 11:59PM] K8 used command ::czone | Player rights = CLERIC_DONATOR	
[4/22/23 11:59PM] K8 used command ::Donatorzone | Player rights = CLERIC_DONATOR	
[4/22/23 11:59PM] K8 used command ::dz | Player rights = CLERIC_DONATOR	
[4/22/23 11:59PM] K8 used command ::disland | Player rights = CLERIC_DONATOR	
[4/23/23 02:31AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:33AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 02:34AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 02:35AM] K8 used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 02:59AM] K8 used command ::veigart | Player rights = CLERIC_DONATOR	
[4/23/23 02:59AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:13AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:14AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 03:14AM] K8 used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:15AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:31AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:31AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:32AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 03:33AM] K8 used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:33AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 03:33AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:40AM] K8 used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 04:15AM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:14AM] K8 used command ::Vote | Player rights = CLERIC_DONATOR	
[4/23/23 07:14AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:11AM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:13AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 01:15AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 01:18AM] K8 used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 01:41AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 03:11AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 03:11AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 03:12AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 03:12AM] K8 used command ::glden | Player rights = CLERIC_DONATOR	
[4/26/23 03:15AM] K8 used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 03:19AM] K8 used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:22PM] K8 used command ::Vote | Player rights = CLERIC_DONATOR	
[4/26/23 10:26PM] K8 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 10:34PM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:50PM] K8 used command ::Player | Player rights = CLERIC_DONATOR	
[4/26/23 10:50PM] K8 used command ::played | Player rights = CLERIC_DONATOR	
[4/26/23 11:04PM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 11:07PM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 11:08PM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 11:10PM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 11:59PM] K8 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 12:00AM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 12:02AM] K8 used command ::yell anyone want to swap elite staff for bow ? | Player rights = CLERIC_DONATOR	
[4/27/23 12:04AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 12:06AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 12:08AM] K8 used command ::Golden | Player rights = CLERIC_DONATOR	
[4/27/23 12:34AM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 12:36AM] K8 used command ::raids | Player rights = CLERIC_DONATOR	
[4/27/23 01:07AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 01:09AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 01:11AM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 03:07AM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 03:08AM] K8 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 03:10AM] K8 used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 03:11AM] K8 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 09:27PM] K8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 09:28PM] K8 used command ::vote | Player rights = CLERIC_DONATOR	
[4/27/23 10:07PM] K8 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 10:09PM] K8 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 10:11PM] K8 used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
