[4/19/23 11:48AM] Login. ip: 156.200.176.219, mac: 4ST320320221201061212.000000+120, uuid: DC-1B-A1-AA-68-75	
[4/19/23 11:48AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:59AM] Picked up gr.Item Coin, amount: 300	
[4/19/23 11:59AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:00PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 12:00PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:00PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 12:00PM] Picked up gr.Item Lava bones, amount: 6	
[4/19/23 12:00PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 12:01PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:01PM] Picked up gr.Item Coin, amount: 1200	
[4/19/23 12:01PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 12:01PM] Picked up gr.Item Lava bones, amount: 9	
[4/19/23 12:01PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 12:02PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 12:02PM] Picked up gr.Item Lava bones, amount: 7	
[4/19/23 12:02PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/19/23 12:02PM] Picked up gr.Item Lava bones, amount: 7	
[4/19/23 12:02PM] Picked up gr.Item Coin, amount: 1200	
[4/19/23 12:03PM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 12:03PM] Picked up gr.Item Lava bones, amount: 6	
[4/19/23 12:03PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 12:03PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:03PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 12:03PM] Player dropping item: Starter Gloves, amount: 1	
[4/19/23 12:03PM] Picked up gr.Item Blurite Box, amount: 1	
[4/19/23 12:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:06PM] Receiving item from trade with Wr3ckedyou Id: 10025, amount: 1	
[4/19/23 12:07PM] Receiving item from trade with Wr3ckedyou Id: 10025, amount: 1	
[4/19/23 12:09PM] DEFAULT|2217,3756,0|Said: Hm is coll neck?	
[4/19/23 12:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 12:15PM] Picked up gr.Item $1 Scroll, amount: 10	
[4/19/23 12:15PM] Picked up gr.Item Vote scroll, amount: 6	
[4/19/23 12:16PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 12:17PM] Picked up gr.Item Coin, amount: 3620479	
[4/19/23 12:17PM] Picked up gr.Item Lava bones, amount: 80	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 300	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:23PM] Picked up gr.Item Zinq helm, amount: 1	
[4/19/23 12:24PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Revenant Legs, amount: 1	
[4/19/23 12:30PM] Picked up gr.Item Imperial boots, amount: 1	
[4/19/23 12:31PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/19/23 12:33PM] Picked up gr.Item Coin, amount: 1000	
[4/19/23 12:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:36PM] Picked up gr.Item Coin, amount: 1000	
[4/19/23 12:45PM] Picked up gr.Item Coin, amount: 1613148	
[4/19/23 12:45PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 12:46PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:46PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 12:48PM] (CC) Help. Said: Why i can't open pos?	
[4/19/23 12:49PM] Login. ip: 156.200.176.219, mac: 4ST320320221201061212.000000+120, uuid: DC-1B-A1-AA-68-75	
[4/19/23 12:54PM] Picked up gr.Item Coin, amount: 12000	
[4/19/23 12:55PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 01:02PM] Picked up gr.Item Coin, amount: 1000	
[4/19/23 01:03PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 01:08PM] (CC) Help. Said: How much is antique bow?	
[4/19/23 01:10PM] Player destroying item: -1, amount: 0	
[4/19/23 01:14PM] Picked up gr.Item Coin, amount: 1670480	
[4/19/23 01:14PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 01:15PM] Picked up gr.Item Coin, amount: 2237107	
[4/19/23 01:15PM] Picked up gr.Item Lava bones, amount: 80	
[4/19/23 01:16PM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 01:16PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 01:20PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:20PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:21PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:21PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:23PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:23PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:33PM] Receiving item from trade with Rasengan Id: 23144, amount: 1	
[4/19/23 01:33PM] ZONES4|1641,5607,24|Said: Tysm <333	
[4/19/23 01:38PM] Gave item in trade to Rasengan. Id: 10946, amount: 25	
[4/19/23 01:38PM] Receiving item from trade with Rasengan Id: 11003, amount: 1	
[4/19/23 01:38PM] Receiving item from trade with Rasengan Id: 11001, amount: 1	
[4/19/23 01:38PM] ZONES4|1642,5607,24|Said: Ty	
[4/19/23 01:39PM] Player dropping item: Imperial Minigun, amount: 1	
[4/19/23 01:43PM] Receiving item from trade with Rasengan Id: 18629, amount: 1	
[4/19/23 01:43PM] Receiving item from trade with Rasengan Id: 3030, amount: 1	
[4/19/23 01:43PM] ZONES1|2976,9482,12|Said: <3	
[4/19/23 01:43PM] ZONES1|2976,9482,12|Said: Better	
[4/19/23 01:43PM] Player dropping item: Vial, amount: 1	
[4/19/23 01:45PM] Picked up gr.Item Coin, amount: 1945497	
[4/19/23 01:45PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 01:56PM] Picked up gr.Item Coin, amount: 13000	
[4/19/23 01:56PM] Picked up gr.Item Coin, amount: 52000	
[4/19/23 01:56PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:57PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 01:57PM] Picked up gr.Item Coin, amount: 13000	
[4/19/23 01:57PM] Picked up gr.Item Coin, amount: 13000	
[4/19/23 01:57PM] Picked up gr.Item Coin, amount: 26000	
[4/19/23 02:05PM] DEFAULT|2215,3757,0|Said: Idk i'm new	
[4/19/23 02:06PM] DEFAULT|2215,3756,0|Said: Aaron	
[4/19/23 02:07PM] DEFAULT|2215,3756,0|Said: How much for neck?	
[4/19/23 02:07PM] DEFAULT|2215,3756,0|Said: No idea join couple hours 	
[4/19/23 02:08PM] DEFAULT|2215,3756,0|Said: Suh said like 20k	
[4/19/23 02:09PM] DEFAULT|2216,3756,0|Said: Aaron	
[4/19/23 02:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 02:16PM] Picked up gr.Item Coin, amount: 4187941	
[4/19/23 02:16PM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 02:20PM] Receiving item from trade with Rasengan Id: 8803, amount: 1	
[4/19/23 02:21PM] TRAINING_ROCK_CRAB|2705,4750,48|Said: Emerald better?	
[4/19/23 02:23PM] Picked up gr.Item Coin, amount: 5000	
[4/19/23 02:29PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 02:29PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 02:31PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 02:32PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 02:33PM] Picked up gr.Item Coin, amount: 3000	
[4/19/23 02:33PM] (CC) Help. Said: Selling 26 vote scrolls	
[4/19/23 02:34PM] DEFAULT|2216,3758,0|Said: Bond or gear	
[4/19/23 02:35PM] Gave item in trade to Professor. Id: 23020, amount: 26	
[4/19/23 02:35PM] Receiving item from trade with Professor Id: 10946, amount: 10	
[4/19/23 02:35PM] Receiving item from trade with Professor Id: 10835, amount: 20822	
[4/19/23 02:39PM] Gave item in trade to Onlyfans. Id: 10946, amount: 15	
[4/19/23 02:39PM] Receiving item from trade with Onlyfans Id: 10835, amount: 750000	
[4/19/23 02:39PM] DEFAULT|2215,3760,0|Said: Ty	
[4/19/23 02:40PM] (CC) Help. Said: What weapon and offhand i can get for 800k?	
[4/22/23 05:13PM] Login. ip: 156.200.176.219, mac: 4ST320320221201061212.000000+120, uuid: DC-1B-A1-AA-68-75	
[4/22/23 05:14PM] (CC) Help. Said: What weapon mage or range i can buy for 800k?	
[4/25/23 06:05PM] Login. ip: 156.200.176.219, mac: 4ST320320221201061212.000000+120, uuid: DC-1B-A1-AA-68-75	
[4/25/23 06:08PM] (CC) Help. Said: Anyone selling cheap coll ammy?	
[4/25/23 06:11PM] (CC) Help. Said: Buy coll ammy	
[4/25/23 06:17PM] Player bought 22135 x 1 from A Knee's pos shop for 40000 Billions	
[4/25/23 06:18PM] Player bought 23067 x 1 from Tellur's pos shop for 700000 Billions	
[4/25/23 06:19PM] Player bought 16272 x 1 from Voki's pos shop for 25000 Billions	
[4/25/23 06:20PM] Player bought 8819 x 1 from Mex's pos shop for 20000 Billions	
[4/25/23 06:20PM] Player bought 17684 x 1 from Mex's pos shop for 10000 Billions	
[4/25/23 06:21PM] Player dropping item: Revenant Wings, amount: 1	
[4/25/23 06:22PM] Player dropping item: Starter Defender, amount: 1	
[4/25/23 06:29PM] Picked up gr.Item Coin, amount: 16000	
[4/25/23 06:32PM] Picked up gr.Item Coin, amount: 3128444	
[4/25/23 06:32PM] Picked up gr.Item Lava bones, amount: 25	
[4/25/23 06:33PM] Picked up gr.Item Coin, amount: 4339068	
[4/25/23 06:33PM] Picked up gr.Item Lava bones, amount: 40	
[4/25/23 06:35PM] Picked up gr.Item Coin, amount: 16000	
[4/25/23 06:35PM] Picked up gr.Item Zinq legs, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Coin, amount: 4000	
[4/25/23 06:37PM] Picked up gr.Item Coin, amount: 4000	
[4/25/23 06:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:37PM] Picked up gr.Item Coin, amount: 4000	
[4/25/23 06:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:37PM] Picked up gr.Item Coin, amount: 8000	
[4/25/23 06:37PM] Picked up gr.Item Coin, amount: 8000	
[4/25/23 06:39PM] Picked up gr.Item Coin, amount: 12000	
[4/25/23 06:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:40PM] Picked up gr.Item Coin, amount: 28000	
[4/25/23 06:42PM] Picked up gr.Item Coin, amount: 12000	
[4/25/23 06:43PM] Picked up gr.Item Coin, amount: 8000	
[4/25/23 06:44PM] Player dropping item: Zinq shield, amount: 1	
[4/25/23 06:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:45PM] Picked up gr.Item Coin, amount: 4000	
[4/25/23 06:45PM] Picked up gr.Item Coin, amount: 4000	
[4/25/23 06:50PM] Player dropping item: Vial, amount: 1	
[4/25/23 06:50PM] Player dropping item: Vial, amount: 1	
[4/25/23 06:50PM] Player dropping item: Vial, amount: 1	
