[4/15/23 08:25AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/15/23 08:26AM] Receiving item from trade with Walkchaos Id: 10029, amount: 1	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 08:41AM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:41AM] Picked up gr.Item Blurite Legs, amount: 1	
[4/15/23 08:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 1600	
[4/15/23 08:41AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 1200	
[4/15/23 08:42AM] (CC) Help. Said: Do u just dissolve all blurite stuff?	
[4/15/23 08:42AM] Picked up gr.Item Coin, amount: 800	
[4/15/23 08:42AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:42AM] Picked up gr.Item Lava bones, amount: 6	
[4/15/23 08:42AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:42AM] Picked up gr.Item Coin, amount: 2400	
[4/15/23 08:42AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:43AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 08:43AM] Picked up gr.Item Coin, amount: 1500	
[4/15/23 08:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:43AM] Picked up gr.Item Coin, amount: 1000	
[4/15/23 08:43AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/15/23 08:44AM] Picked up gr.Item Lava bones, amount: 6	
[4/15/23 08:44AM] Picked up gr.Item Coin, amount: 3000	
[4/15/23 08:44AM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 08:44AM] Picked up gr.Item Coin, amount: 500	
[4/15/23 08:44AM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 08:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:00AM] Picked up gr.Item Lava bones, amount: 25	
[4/15/23 09:00AM] Picked up gr.Item Coin, amount: 1286907	
[4/15/23 09:05AM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 09:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:06AM] Picked up gr.Item Coin, amount: 10000	
[4/15/23 09:06AM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 09:06AM] Picked up gr.Item Coin, amount: 4000	
[4/15/23 09:06AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 09:06AM] Picked up gr.Item Coin, amount: 8000	
[4/15/23 09:06AM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 09:06AM] Picked up gr.Item Coin, amount: 8000	
[4/15/23 09:06AM] Picked up gr.Item Lava bones, amount: 4	
[4/16/23 09:16AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 09:18AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 09:22AM] Picked up gr.Item Revenant Wings, amount: 1	
[4/16/23 09:24AM] Picked up gr.Item Coin, amount: 2714889	
[4/16/23 09:24AM] Picked up gr.Item Lava bones, amount: 40	
[4/16/23 09:24AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/16/23 09:24AM] Picked up gr.Item Lava bones, amount: 100	
[4/16/23 09:24AM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 09:27AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 09:27AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 09:49AM] Picked up gr.Item Lava bones, amount: 40	
[4/16/23 09:49AM] Picked up gr.Item Coin, amount: 3807861	
[4/16/23 09:50AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/16/23 09:50AM] Picked up gr.Item Lava bones, amount: 100	
[4/16/23 09:50AM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 10:31AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 10:45AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 10:50AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/16/23 10:50AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 10:53AM] Picked up gr.Item Imperial helm, amount: 1	
[4/16/23 10:53AM] Picked up gr.Item Imperial helm, amount: 1	
[4/16/23 10:54AM] Picked up gr.Item Lava bones, amount: 25	
[4/16/23 10:54AM] Picked up gr.Item Coin, amount: 2401060	
[4/16/23 10:55AM] Picked up gr.Item Sacred Helm, amount: 1	
[4/16/23 10:59AM] Picked up gr.Item Imperial amulet, amount: 1	
[4/16/23 10:59AM] Picked up gr.Item Imperial legs, amount: 1	
[4/16/23 10:59AM] Picked up gr.Item Imperial legs, amount: 1	
[4/16/23 11:07AM] Has just redeemed a Donator rank ticket successfully!	
[4/16/23 11:07AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/16/23 11:08AM] Picked up gr.Item Coin, amount: 1500	
[4/16/23 11:09AM] Picked up gr.Item Coin, amount: 4500	
[4/16/23 11:09AM] Picked up gr.Item Coin, amount: 6000	
[4/16/23 11:09AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:10AM] Picked up gr.Item Coin, amount: 1500	
[4/16/23 11:10AM] Picked up gr.Item Mystic staff, amount: 1	
[4/16/23 11:10AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 11:12AM] Picked up gr.Item Coin, amount: 4500	
[4/16/23 11:15AM] Picked up gr.Item Coin, amount: 3000	
[4/16/23 11:16AM] Picked up gr.Item Coin, amount: 3000	
[4/16/23 11:20AM] Picked up gr.Item Coin, amount: 3000	
[4/16/23 11:20AM] Picked up gr.Item Coin, amount: 4500	
[4/16/23 11:21AM] Picked up gr.Item Nightmare helm, amount: 1	
[4/16/23 11:21AM] Picked up gr.Item Coin, amount: 7500	
[4/16/23 11:21AM] Picked up gr.Item Coin, amount: 6000	
[4/16/23 11:22AM] Picked up gr.Item Nightmare body, amount: 1	
[4/16/23 11:22AM] Picked up gr.Item Coin, amount: 1500	
[4/16/23 11:22AM] Picked up gr.Item Coin, amount: 7500	
[4/16/23 11:22AM] Player dropping item: Nightmare body, amount: 1	
[4/16/23 11:22AM] Picked up gr.Item Nightmare body, amount: 1	
[4/16/23 11:23AM] Picked up gr.Item Nightmare legs, amount: 1	
[4/16/23 11:24AM] Picked up gr.Item Lava bones, amount: 50	
[4/16/23 11:24AM] Picked up gr.Item Coin, amount: 2025550	
[4/16/23 11:25AM] Picked up gr.Item Coin, amount: 10500	
[4/16/23 11:25AM] Picked up gr.Item Coin, amount: 10500	
[4/16/23 11:25AM] Picked up gr.Item Coin, amount: 13500	
[4/16/23 11:25AM] Picked up gr.Item Coin, amount: 13500	
[4/16/23 11:25AM] Picked up gr.Item Coin, amount: 16500	
[4/16/23 11:26AM] Player bought 19886 x 1 from Zshana's pos shop for 60000 Billions	
[4/16/23 11:32AM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 11:32AM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 11:32AM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 12:57PM] Player dropping item: Patience body, amount: 1	
[4/16/23 12:57PM] Picked up gr.Item Patience body, amount: 1	
[4/16/23 01:01PM] Player bought 23020 x 1 from Weed's pos shop for 10000 Billions	
[4/16/23 01:04PM] Player dropping item: Vial, amount: 1	
[4/16/23 01:25PM] Clav received x1 Titan Helm from Avatar Titan!	
[4/16/23 01:28PM] Player dropping item: Phranium, amount: 1	
[4/16/23 01:28PM] Player dropping item: Tormented Legs, amount: 1	
[4/16/23 01:29PM] Picked up gr.Item Phranium, amount: 1	
[4/16/23 01:29PM] Picked up gr.Item Tormented Legs, amount: 1	
[4/16/23 01:34PM] (CC) Help. Said: Can u add effects to ur items if so how	
[4/16/23 01:37PM] (CC) Help. Said: U can get the gold tier effects as drops on random items right?	
[4/16/23 01:37PM] (CC) Help. Said: Yeah that	
[4/16/23 02:04PM] Clav received x1 Rogue Sword from Sasuke!	
[4/16/23 02:12PM] Clav received x1 Zircon (Ranger) from Luffy!	
[4/16/23 02:18PM] Has just redeemed a $10 Bond successfully!	
[4/16/23 02:24PM] Has just redeemed a $1 Scroll successfully!	
[4/16/23 02:26PM] Clav received x1 Blood Vitur from Zeidan Grimm!	
[4/16/23 02:26PM] (CC) Help. Said: No effect rip	
[4/16/23 02:27PM] (CC) Help. Said: And like 10 kc xd	
[4/16/23 02:27PM] Clav received x1 Blood Vitur from Zeidan Grimm!	
[4/16/23 02:27PM] (CC) Help. Said: Oof doubled xd	
[4/16/23 02:28PM] Clav received x1 Blood Vitur from Zeidan Grimm!	
[4/16/23 02:28PM] (CC) Help. Said: Not even high lmao	
[4/16/23 02:29PM] (CC) Help. Said: 240 rn i think?	
[4/16/23 02:48PM] (CC) Help. Said: Selling blood vitur/agumon body pm offer	
[4/16/23 02:50PM] Gave item in trade to Arab. Id: 8136, amount: 1	
[4/16/23 02:50PM] Receiving item from trade with Arab Id: 10835, amount: 550000	
[4/16/23 03:02PM] Clav received x1 Executive Legs from Gorvek!	
[4/16/23 03:24PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 02:50PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/17/23 02:52PM] Clav received x1 Executive Gloves from Gorvek!	
[4/17/23 02:59PM] (CC) Help. Said: How do u use transfer crystal	
[4/17/23 03:00PM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 03:03PM] Clav received x1 Warlock prayer scroll from Final Boss Veigar!	
[4/17/23 03:03PM] DEFAULT|2222,3747,0|Said: Ty	
[4/19/23 02:26PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/19/23 02:29PM] Has just redeemed a $1 Scroll successfully!	
[4/20/23 12:09PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/20/23 12:10PM] Gave item in trade to Asquad. Id: 22237, amount: 1	
[4/20/23 12:10PM] Receiving item from trade with Asquad Id: 22135, amount: 1	
[4/20/23 12:10PM] DEFAULT|2225,3746,0|Said: Ty	
[4/20/23 12:14PM] TRAININZONEMULTI|2527,2527,84|Said:  /can u instance?	
[4/20/23 12:14PM] (CC) Help. Said: Can u instance npcs	
[4/20/23 12:23PM] Has just redeemed a $1 Scroll successfully!	
[4/20/23 12:43PM] (CC) Help. Said: How tf would u even get ur dr that high xd	
[4/20/23 12:48PM] (CC) Help. Said: How u instance?	
[4/20/23 12:58PM] (CC) Help. Said: Anyway to check npc kc?	
[4/20/23 01:10PM] Clav received x1 Antique Gloves from Avalon!	
[4/22/23 08:23AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 08:26AM] Clav received x1 Antique Gloves from Avalon!	
[4/22/23 08:26AM] (CC) Help. Said: How u get x2 kc or x3 kc?	
[4/22/23 08:26AM] (CC) Help. Said: Like is it a perk	
[4/22/23 08:29AM] (CC) Help. Said: Best box to dono for?	
[4/22/23 08:29AM] Clav received x1 Antique Gloves from Avalon!	
[4/22/23 08:35AM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 08:38AM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 08:38AM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 08:42AM] (CC) Help. Said: Pc blood vitur	
[4/22/23 08:45AM] (CC) Help. Said: Ok im confused how do i transfer perks ti another item	
[4/22/23 08:48AM] (CC) Help. Said: Do u lose the item u transfer a perk from	
[4/22/23 08:52AM] Clav received x1 Antique Body from Avalon!	
[4/22/23 09:00AM] Clav received x1 Antique Staff from Eragon!	
[4/22/23 09:00AM] Clav received x1 Antique Staff from Eragon!	
[4/22/23 09:04AM] Player dropping item: Vial, amount: 1	
[4/22/23 09:04AM] Clav received x1 Adamant platebody (h3) from Ag'Thomoth!	
[4/22/23 09:19AM] Clav received x1 Blood Helm from Zeidan Grimm!	
[4/22/23 09:19AM] Clav received x1 Blood Boots from Zeidan Grimm!	
[4/22/23 09:29AM] Clav received x1 Nite Hammer Off-Hand from Dragonite!	
[4/22/23 03:02PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 03:20PM] (CC) Help. Said: Good way to farm cash?	
[4/22/23 03:23PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 03:28PM] (CC) Help. Said: Can u get double kills/triple from any npc?	
[4/22/23 03:35PM] Clav received x1 Doom Aura from Doomwatcher!	
[4/22/23 03:45PM] Clav received x1 Maze Helm from Maze Guardian!	
[4/22/23 03:52PM] Clav received x1 Unknown Body from Miscreation!	
[4/22/23 03:52PM] (CC) Help. Said: Hm is each $1?	
[4/22/23 03:54PM] (CC) Help. Said: Pc $10 bond?	
[4/22/23 03:55PM] TRAINING_ROCK_CRAB|2701,4753,44|Said: My b	
[4/22/23 03:56PM] Gave item in trade to Entropy. Id: 23057, amount: 1	
[4/22/23 03:56PM] Receiving item from trade with Entropy Id: 10835, amount: 600000	
[4/22/23 03:56PM] DEFAULT|2213,3763,0|Said: Ty	
[4/22/23 04:06PM] Clav received x1 Gold Helm from Golden Golem!	
[4/22/23 04:08PM] (CC) Help. Said: Pc double kc?	
[4/22/23 04:13PM] TRAININZONEMULTI|2527,2527,64|Said: Aoe	
[4/22/23 04:37PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:38PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 04:39PM] Has just redeemed a $25 Bond successfully!	
[4/22/23 04:44PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 04:47PM] Player destroying item: 9719, amount: 1	
[4/22/23 04:51PM] Clav received x1 Solar Hood from Sanctum Golem!	
[4/22/23 05:00PM] Clav received x1 Executive Gloves from Gorvek!	
[4/22/23 05:34PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 05:38PM] (CC) Help. Said: Pc double kc perk??	
[4/22/23 05:38PM] (CC) Help. Said: Anyone sellin?	
[4/22/23 05:44PM] Player bought 15645 x 1 from Norman's pos shop for 500000 Billions	
[4/22/23 06:17PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 06:24PM] Clav received x1 Malvek Katana from Malvek!	
[4/22/23 06:28PM] Player destroying item: 9719, amount: 1	
[4/22/23 06:29PM] Clav received x1 Onyx Legs from Onyx Griffin!	
[4/22/23 06:35PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 06:36PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 06:51PM] Clav received x1 Solar Staff from Sanctum Golem!	
[4/22/23 06:59PM] Clav received x1 Solar Robe Bottom from Sanctum Golem!	
[4/22/23 08:25PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 08:33PM] (CC) Help. Said: Pc x2 gold perk?	
[4/22/23 08:37PM] Player sold 10946 x 6 to O T T E R for 360000 Billions in their pos shop	
[4/22/23 08:39PM] Clav received x1 Saint Helm from Broly!	
[4/22/23 08:44PM] Played claimed 360K Billions from pos	
[4/22/23 08:44PM] Player sold 10946 x 5 to O T T E R for 300000 Billions in their pos shop	
[4/22/23 08:56PM] Clav received x1 Lili Helm from Lilinryss!	
[4/22/23 09:13PM] TRAININZONEMULTI|2527,2527,88|Said: Negative	
[4/22/23 09:14PM] TRAININZONEMULTI|2527,2527,88|Said: Just killin for kc	
[4/22/23 09:14PM] TRAININZONEMULTI|2527,2527,88|Said: All urs tho	
[4/22/23 09:46PM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/22/23 09:46PM] Played claimed 300K Billions from pos	
[4/22/23 09:51PM] VBOSS|2982,2768,0|Said: Sellin $10 600k	
[4/22/23 09:51PM] VBOSS|2977,2773,0|Said: Sellin $10	
[4/22/23 09:53PM] VBOSS|2976,2771,0|Said: Sellin $15 900k	
[4/22/23 09:53PM] VBOSS|2976,2771,0|Said: Sellin $15 900k	
[4/22/23 10:09PM] Clav received x1 Tyrant Aura from Tyrant Lord!	
[4/22/23 10:12PM] (CC) Help. Said: $15 my pos	
[4/22/23 10:12PM] Player bought 23020 x 10 from Tomzi's pos shop for 400000 Billions	
[4/22/23 10:13PM] Player bought 23020 x 2 from Tomzi's pos shop for 80000 Billions	
[4/22/23 10:13PM] Player bought 23020 x 5 from K8's pos shop for 215000 Billions	
[4/22/23 10:13PM] Player bought 23020 x 1 from K8's pos shop for 43000 Billions	
[4/22/23 10:13PM] Player bought 23020 x 1 from K8's pos shop for 43000 Billions	
[4/22/23 10:15PM] Clav received x1 Groudon Legs from Groudon!	
[4/22/23 10:16PM] (CC) Help. Said: Pc 1.5x dmg perk?	
[4/22/23 10:18PM] Clav received x1 Groudon Staff from Groudon!	
[4/22/23 10:21PM] Clav received x1 Black platebody (h4) from Groudon!	
[4/22/23 10:49PM] Clav received x1 Black platebody (h5) from Lucifer!	
[4/22/23 11:10PM] (CC) Help. Said: $32 my pos	
[4/22/23 11:11PM] Player bought 23020 x 10 from Ronnie V2's pos shop for 300000 Billions	
[4/22/23 11:11PM] Player bought 23020 x 2 from Ronnie V2's pos shop for 60000 Billions	
[4/22/23 11:13PM] (CC) Help. Said: $157 my pos	
[4/22/23 11:16PM] Player sold 23058 x 5 to A Fatality for 7500000 Billions in their pos shop	
[4/22/23 11:16PM] Player sold 10946 x 32 to A Fatality for 1920000 Billions in their pos shop	
[4/22/23 11:18PM] Clav received x1 Virtuos Relic from Virtuoso!	
[4/22/23 11:22PM] Played claimed 9420K Billions from pos	
[4/22/23 11:26PM] Clav received x1 Rune platebody (h5) from Agumon!	
[4/22/23 11:36PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 11:37PM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 11:38PM] Player bought 15646 x 1 from Cameron's pos shop for 750000 Billions	
[4/22/23 11:38PM] Player bought 14196 x 1 from Beef Supreme's pos shop for 750000 Billions	
[4/23/23 12:04AM] Has just redeemed a $10 Bond successfully!	
[4/23/23 12:08AM] Player bought 8088 x 1 from Tarnow's pos shop for 20000 Billions	
[4/23/23 12:10AM] Clav received x1 Fighter Sword from Leviathan!	
[4/23/23 12:11AM] Clav received x1 Fighter Wings from Leviathan!	
[4/23/23 12:21AM] Player bought 23020 x 1 from Tomzi's pos shop for 38000 Billions	
[4/23/23 12:22AM] Player bought 23020 x 9 from Raynes 911's pos shop for 360000 Billions	
[4/23/23 12:22AM] Player bought 23020 x 10 from Ainokea's pos shop for 440000 Billions	
[4/23/23 10:28AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/23/23 10:49AM] (CC) Help. Said: Best way to get higher dr?	
[4/23/23 10:54AM] Has just redeemed a $1 Scroll successfully!	
[4/23/23 10:58AM] Has just redeemed a $10 Bond successfully!	
[4/23/23 11:04AM] (CC) Help. Said: Where u get a pick?	
[4/23/23 11:11AM] (CC) Help. Said: There a faster way to get to instance portal?	
[4/23/23 11:20AM] Has just redeemed a $1 Scroll successfully!	
[4/23/23 11:20AM] (CC) Help. Said: Do u just keep dr tickets in invy?	
[4/23/23 11:31AM] Clav received x1 Solar Staff from Sanctum Golem!	
[4/23/23 11:35AM] Clav received x1 Sanctum Golem Pet from Sanctum Golem!	
[4/23/23 11:46AM] VBOSS|2982,2774,0|Said: ??	
[4/23/23 11:46AM] VBOSS|2982,2774,0|Said: I even took owner off lol	
[4/23/23 11:47AM] Has just redeemed a $1 Scroll successfully!	
[4/23/23 11:51AM] (CC) Help. Said: Need a way to grind pets	
[4/23/23 11:53AM] (CC) Help. Said: Eoc	
[4/23/23 11:55AM] GLOBAL_BOSS|2139,5018,4|Said: Lmfao	
[4/23/23 11:55AM] GLOBAL_BOSS|2139,5018,4|Said: God y they so angry	
