[4/23/23 10:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Coin, id: 995, amount: 400, owner: Gimp Sweat	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 11:25AM] Player picked up item: Coin, id: 995, amount: 1824774, owner: Gimp Sweat	
[4/23/23 11:33AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Gimp Sweat	
[4/23/23 11:33AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Gimp Sweat	
[4/23/23 11:34AM] Player picked up item: Coin, id: 995, amount: 500, owner: Gimp Sweat	
[4/23/23 11:36AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Gimp Sweat	
[4/23/23 11:36AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Gimp Sweat	
[4/23/23 11:37AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Gimp Sweat	
[4/23/23 11:37AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Gimp Sweat	
[4/23/23 11:37AM] Player picked up item: Coin, id: 995, amount: 500, owner: Gimp Sweat	
[4/23/23 12:00PM] Player picked up item: Coin, id: 995, amount: 1558353, owner: Gimp Sweat	
[4/23/23 12:00PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gimp Sweat	
[4/23/23 12:00PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Gimp Sweat	
[4/23/23 12:00PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Gimp Sweat	
[4/23/23 12:02PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gimp Sweat	
[4/23/23 12:03PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gimp Sweat	
[4/23/23 12:03PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gimp Sweat	
[4/23/23 12:05PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gimp Sweat	
[4/23/23 12:05PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gimp Sweat	
